xsampa,ipa,description,initial,medial,final
1,ɨ,close central unrounded vowel,,,
2,ø,close-mid front rounded vowel,,,
3,ɜ,open-mid central unrounded vowel,,,
4,ɾ,alveolar flap,,,
5,ɫ,velarized alveolar lateral approximant; also see _e,,,
6,ɐ,near-open central vowel,,,
7,ɤ,close-mid back unrounded vowel,,,
8,ɵ,close-mid central rounded vowel,,,
9,œ,open-mid front rounded vowel,,,
!\,ǃ,postalveolar click,,,
?,ʔ,glottal stop,,,
?\,ʕ,voiced pharyngeal fricative,,,
{,æ,near-open front unrounded vowel,,,
},ʉ,close central rounded vowel,,,
@,ə,schwa,,,
@\,ɘ,close-mid central unrounded vowel,,,
&,ɶ,open front rounded vowel,,,
<\,ʢ,voiced epiglottal fricative,,,
>\,ʡ,epiglottal plosive,,,
|\,ǀ,dental click,,,
|\|\,ǁ,alveolar lateral click,,,
3\,ɞ,open-mid central rounded vowel,,,
a,a,open front unrounded vowel,,,
A,ɑ,open back unrounded vowel,,,
b,b,voiced bilabial plosive,,,
B,β,voiced bilabial fricative,,,
b_<,ɓ,voiced bilabial implosive,,,
B\,ʙ,bilabial trill,,,
c,c,voiceless palatal plosive,,,
C,ç,voiceless palatal fricative,,,
d,d,voiced alveolar plosive,,,
D,ð,voiced dental fricative,,,
d_<,ɗ,voiced alveolar implosive,,,
d`,ɖ,voiced retroflex plosive,,,
e,e,close-mid front unrounded vowel,,,
E,ɛ,open-mid front unrounded vowel,,,
f,f,voiceless labiodental fricative,,,
F,ɱ,labiodental nasal,,,
g,ɡ,voiced velar plosive,,,
G,ɣ,voiced velar fricative,,,
g_<,ɠ,voiced velar implosive,,,
G\,ɢ,voiced uvular plosive,,,
G\_<,ʛ,voiced uvular implosive,,,
h,h,voiceless glottal fricative,,,
H,ɥ,labial-palatal approximant,,,
h\,ɦ,voiced glottal fricative,,,
H\,ʜ,voiceless epiglottal fricative,,,
i,i,close front unrounded vowel,,,
I,ɪ,near-close near-front unrounded vowel,,,
I\,ᵻ or ɪ̈,near-close central unrounded vowel,,,
j,j,palatal approximant,,,
J,ɲ,palatal nasal,,,
j\,ʝ,voiced palatal fricative,,,
J\,ɟ,voiced palatal plosive,,,
J\_<,ʄ,voiced palatal implosive,,,
k,k,voiceless velar plosive,,,
K,ɬ,voiceless alveolar lateral fricative,,,
K\,ɮ,voiced alveolar lateral fricative,,,
l,l,alveolar lateral approximant,,,
L,ʎ,palatal lateral approximant,,,
l\,ɺ,alveolar lateral flap,,,
L\,ʟ,velar lateral approximant,,,
l`,ɭ,retroflex lateral approximant,,,
m,m,bilabial nasal,,,
M,ɯ,close back unrounded vowel,,,
M\,ɰ,velar approximant,,,
n,n,alveolar nasal,,,
N,ŋ,velar nasal,,,
N\,ɴ,uvular nasal,,,
n`,ɳ,retroflex nasal,,,
o,o,close-mid back rounded vowel,,,
O,ɔ,open-mid back rounded vowel,,,
O\,ʘ,bilabial click,,,
p,p,voiceless bilabial plosive,,,
P (or v\),ʋ,labiodental approximant,,,
p\,ɸ,voiceless bilabial fricative,,,
q,q,voiceless uvular plosive,,,
Q,ɒ,open back rounded vowel,,,
r,r,alveolar trill,,,
R,ʁ,voiced uvular fricative,,,
r\,ɹ,alveolar approximant,,,
R\,ʀ,uvular trill,,,
r\`,ɻ,retroflex approximant,,,
r`,ɽ,retroflex flap,,,
s,s,voiceless alveolar fricative,,,
S,ʃ,voiceless postalveolar fricative,,,
s\,ɕ,voiceless alveolo-palatal fricative,,,
s`,ʂ,voiceless retroflex fricative,,,
t,t,voiceless alveolar plosive,,,
T,θ,voiceless dental fricative,,,
t`,ʈ,voiceless retroflex plosive,,,
u,u,close back rounded vowel,,,
U,ʊ,near-close near-back rounded vowel,,,
U\,ᵿ or ʊ̈,near-close central rounded vowel,,,
v,v,voiced labiodental fricative,,,
V,ʌ,open-mid back unrounded vowel,,,
v\ (or P),ʋ,labiodental approximant,,,
w,w,labial-velar approximant,,,
W,ʍ,voiceless labial-velar fricative,,,
x,x,voiceless velar fricative,,,
X,χ,voiceless uvular fricative,,,
x\,ɧ,voiceless palatal-velar fricative,,,
X\,ħ,voiceless pharyngeal fricative,,,
y,y,close front rounded vowel,,,
Y,ʏ,near-close near-front rounded vowel,,,
z,z,voiced alveolar fricative,,,
Z,ʒ,voiced postalveolar fricative,,,
z\,ʑ,voiced alveolo-palatal fricative,,,
z`,ʐ,voiced retroflex fricative,,,
*=\*,ǂ,palatal click,,,
